"payment_id","customer_id","staff_id","rental_id","amount","random_date"
17503,341,2,1520,"7.99","2023-07-21"
17504,341,1,1778,"1.99","2020-01-28"
17505,341,1,1849,"7.99","2023-04-25"
17506,341,2,2829,"2.99","2020-07-17"
17507,341,2,3130,"7.99","2022-02-25"
17508,341,1,3382,"5.99","2023-11-28"
17509,342,2,2190,"5.99","2023-06-06"
17510,342,1,2914,"5.99","2023-11-18"
17511,342,1,3081,"2.99","2020-10-05"
17512,343,2,1547,"4.99","2023-06-07"
17513,343,1,1564,"6.99","2022-01-05"
17514,343,2,1879,"0.99","2022-09-03"
17515,343,2,1922,"0.99","2023-11-01"
17516,343,2,2461,"6.99","2023-01-24"
17517,343,1,2980,"8.99","2021-01-14"
17518,343,1,3407,"0.99","2021-05-03"
17519,344,1,1341,"3.99","2021-03-30"
17520,344,2,1475,"4.99","2020-07-01"
17521,344,1,1731,"0.99","2023-02-24"
17522,345,2,1210,"0.99","2021-11-26"
17523,345,1,1457,"4.99","2021-09-19"
17524,345,2,1550,"0.99","2021-06-07"
17525,345,2,2766,"4.99","2020-03-23"
17526,346,1,1994,"5.99","2020-04-21"
17527,346,2,3372,"2.99","2020-10-23"
17528,346,1,3421,"2.99","2020-03-25"
17529,347,2,1711,"8.99","2022-06-29"
17530,347,2,2274,"0.99","2022-08-28"
17531,347,1,3026,"4.99","2020-10-16"
17532,347,1,3092,"8.99","2022-03-09"
17533,347,1,3326,"7.99","2022-01-05"
17534,348,1,1654,"2.99","2023-07-13"
17535,348,1,2041,"8.99","2021-09-30"
17536,348,2,2499,"0.99","2023-08-01"
17537,349,1,1197,"2.99","2021-01-15"
17538,349,1,1523,"0.99","2022-04-23"
17539,349,2,2987,"6.99","2022-03-12"
17540,349,1,3067,"8.99","2020-01-08"
17541,350,2,2011,"3.99","2022-01-11"
17542,350,1,2619,"0.99","2021-12-28"
17543,350,1,3079,"2.99","2023-09-23"
17544,350,2,3206,"0.99","2020-05-29"
17545,351,2,1792,"5.99","2023-06-27"
17546,351,1,1869,"0.99","2023-08-19"
17547,351,1,2759,"2.99","2021-05-08"
17548,352,1,1498,"0.99","2021-08-17"
17549,352,1,1649,"4.99","2022-07-16"
17550,352,1,1678,"4.99","2020-04-11"
17551,352,1,1780,"4.99","2021-11-25"
17552,352,2,3331,"4.99","2021-04-23"
17553,353,2,1359,"2.99","2023-12-04"
17554,353,2,1928,"7.99","2020-02-17"
17555,353,2,3233,"6.99","2022-01-26"
17556,354,1,1491,"0.99","2020-02-05"
17557,354,1,2275,"4.99","2023-02-22"
17558,354,1,2769,"6.99","2021-06-09"
17559,354,1,3139,"2.99","2021-07-10"
17560,355,2,1488,"0.99","2023-12-20"
17561,355,1,1612,"2.99","2021-08-02"
17562,356,1,1410,"0.99","2023-04-23"
17563,356,1,2405,"2.99","2020-12-23"
17564,356,1,2433,"4.99","2020-10-09"
17565,357,2,1246,"5.99","2020-05-06"
17566,357,1,1788,"1.99","2021-05-10"
17567,357,2,1971,"1.99","2020-11-08"
17568,357,2,2153,"6.99","2020-04-05"
17569,358,1,1455,"2.99","2021-10-01"
17570,358,2,1908,"0.99","2020-12-20"
17571,358,1,2114,"5.99","2020-06-13"
17572,358,1,2721,"2.99","2022-07-26"
